batter,runs_scored,balls_faced,strike_rate
A Ashish Reddy,280,196,142.86
A Badoni,634,505,125.54
A Manohar,231,181,127.62
A Mishra,381,440,86.59
A Raghuvanshi,163,109,149.54
A Symonds,974,781,124.71
AA Jhunjhunwala,217,218,99.54
AB Agarkar,179,160,111.87
AB McDonald,123,103,119.42
AB de Villiers,5181,3487,148.58
AC Gilchrist,2069,1555,133.05
AC Voges,181,143,126.57
AD Hales,148,119,124.37
AD Mathews,724,599,120.87
AD Russell,2488,1515,164.22
AJ Finch,2092,1696,123.35
AK Markram,995,787,126.43
AL Menaria,401,367,109.26
AM Nayar,672,588,114.29
AM Rahane,4642,3858,120.32
AP Tare,339,285,118.95
AR Patel,1653,1318,125.42
AS Raut,194,172,112.79
AT Rayudu,4348,3490,124.58
Abdul Samad,579,408,141.91
Abhishek Sharma,1377,925,148.86
Abishek Porel,360,244,147.54
Aman Hakim Khan,115,109,105.5
Anmolpreet Singh,139,117,118.8
Anuj Rawat,318,276,115.22
Ashutosh Sharma,189,118,160.17
Atharva Taide,247,177,139.55
Azhar Mahmood,388,311,124.76
B Chipli,280,256,109.38
B Kumar,306,338,90.53
B Lee,124,102,121.57
B Sai Sudharsan,1034,770,134.29
BA Stokes,935,718,130.22
BB McCullum,2882,2272,126.85
BB Samantray,125,116,107.76
BCJ Cutting,238,146,163.01
BJ Hodge,1400,1153,121.42
BJ Rohrer,193,146,132.19
Bipul Sharma,187,124,150.81
C Green,707,472,149.79
C Munro,177,144,122.92
C de Grandhomme,303,229,132.31
CA Ingram,205,183,112.02
CA Lynn,1329,974,136.45
CA Pujara,390,403,96.77
CH Gayle,4997,3516,142.12
CH Morris,618,413,149.64
CJ Anderson,538,436,123.39
CJ Ferguson,98,119,82.35
CL White,971,774,125.45
CM Gautam,169,158,106.96
CR Brathwaite,181,120,150.83
D Brevis,230,176,130.68
D Padikkal,1559,1323,117.84
D Wiese,148,105,140.95
DA Miller,2924,2171,134.68
DA Warner,6567,4849,135.43
DB Das,304,267,113.86
DB Ravi Teja,375,325,115.38
DH Yagnik,170,142,119.72
DJ Bravo,1560,1247,125.1
DJ Harris,111,103,107.77
DJ Hooda,1466,1170,125.3
DJ Hussey,1322,1101,120.07
DJ Jacobs,92,101,91.09
DJ Mitchell,351,274,128.1
DJG Sammy,295,251,117.53
DJM Short,115,102,112.75
DL Vettori,121,118,102.54
DP Conway,924,669,138.12
DPMD Jayawardene,1808,1522,118.79
DR Smith,2385,1803,132.28
DS Kulkarni,104,113,92.04
DT Christian,460,408,112.75
DW Steyn,167,163,102.45
Dhruv Jurel,347,237,146.41
E Lewis,654,499,131.06
EJG Morgan,1406,1181,119.05
F du Plessis,4571,3435,133.07
FY Fazal,183,179,102.23
G Gambhir,4217,3524,119.67
GC Smith,739,691,106.95
GH Vihari,284,331,85.8
GJ Bailey,663,552,120.11
GJ Maxwell,2772,1842,150.49
Gurkeerat Singh,511,436,117.2
H Klaasen,993,613,161.99
HC Brook,190,159,119.5
HH Gibbs,886,837,105.85
HH Pandya,2534,1814,139.69
HM Amla,577,418,138.04
HV Patel,249,214,116.36
Harbhajan Singh,833,636,130.97
Harpreet Brar,233,201,115.92
Harpreet Singh,123,119,103.36
IK Pathan,1150,985,116.75
IR Jaggi,76,100,76.0
Ishan Kishan,2644,1991,132.8
J Botha,409,364,112.36
J Fraser-McGurk,330,150,220.0
JA Morkel,975,712,136.94
JC Archer,199,132,150.76
JC Buttler,3583,2519,142.24
JD Ryder,604,466,129.61
JD Unadkat,197,170,115.88
JDP Oram,106,110,96.36
JEC Franklin,327,309,105.83
JH Kallis,2427,2291,105.94
JJ Roy,614,460,133.48
JM Bairstow,1589,1132,140.37
JM Sharma,730,501,145.71
JO Holder,259,217,119.35
JP Duminy,2029,1680,120.77
JP Faulkner,527,406,129.8
JR Hopes,417,314,132.8
K Goel,218,239,91.21
K Gowtham,247,159,155.35
K Rabada,206,207,99.52
KA Pollard,3437,2447,140.46
KC Sangakkara,1687,1424,118.47
KD Karthik,4843,3687,131.35
KH Pandya,1647,1287,127.97
KK Nair,1496,1192,125.5
KL Rahul,4689,3578,131.05
KM Jadhav,1208,1012,119.37
KP Pietersen,1001,758,132.06
KR Mayers,379,276,137.32
KS Bharat,199,168,118.45
KS Williamson,2132,1734,122.95
KV Sharma,351,306,114.71
Kuldeep Yadav,183,224,81.7
LA Pomersbach,302,251,120.32
LMP Simmons,1079,878,122.89
LR Shukla,405,358,113.13
LRPL Taylor,1017,847,120.07
LS Livingstone,939,609,154.19
Lalit Yadav,305,301,101.33
M Kaif,259,258,100.39
M Kartik,113,109,103.67
M Manhas,514,486,105.76
M Shahrukh Khan,553,413,133.9
M Vijay,2619,2208,118.61
M Vohra,1083,863,125.49
MA Agarwal,2669,2081,128.26
MA Starc,105,109,96.33
MC Henriques,1000,801,124.84
MC Juneja,125,134,93.28
MD Mishra,237,213,111.27
MEK Hussey,1977,1648,119.96
MF Maharoof,177,124,142.74
MG Johnson,167,168,99.4
MJ Guptill,271,197,137.56
MJ Lumb,278,198,140.4
MK Lomror,527,389,135.48
MK Pandey,3859,3288,117.37
MK Tiwary,1695,1489,113.83
ML Hayden,1107,839,131.94
MM Ali,1162,849,136.87
MM Sharma,124,137,90.51
MN Samuels,161,174,92.53
MN van Wyk,167,135,123.7
MP Stoinis,1866,1366,136.6
MR Marsh,665,532,125.0
MS Bisla,798,737,108.28
MS Dhoni,5243,3947,132.84
MS Wade,183,185,98.92
MV Boucher,394,318,123.9
Mandeep Singh,1706,1418,120.31
Mohammad Nabi,221,157,140.76
Mohammed Siraj,109,122,89.34
N Jagadeesan,162,155,104.52
N Pooran,1769,1143,154.77
N Rana,2636,2015,130.82
N Saini,140,143,97.9
N Wadhera,350,261,134.1
NK Patel,121,124,97.58
NLTC Perera,424,326,130.06
NV Ojha,1554,1360,114.26
Nithish Kumar Reddy,303,221,137.1
OA Shah,506,405,124.94
P Dogra,127,141,90.07
P Kumar,340,323,105.26
P Negi,365,301,121.26
P Simran Singh,756,528,143.18
PA Patel,2848,2442,116.63
PA Reddy,164,167,98.2
PBB Rajapaksa,277,201,137.81
PC Valthaty,505,432,116.9
PD Collingwood,203,159,127.67
PD Salt,653,385,169.61
PJ Cummins,515,359,143.45
PK Garg,273,247,110.53
PP Chawla,624,580,107.59
PP Shaw,1892,1321,143.22
Q de Kock,3160,2410,131.12
R Ashwin,800,698,114.61
R Bhatia,342,290,117.93
R Dhawan,210,188,111.7
R Dravid,2174,1918,113.35
R McLaren,159,178,89.33
R Parag,1173,909,129.04
R Powell,360,254,141.73
R Ravindra,222,146,152.05
R Sathish,270,236,114.41
R Tewatia,1013,788,128.55
R Vinay Kumar,310,289,107.27
RA Jadeja,2959,2378,124.43
RA Tripathi,2236,1650,135.52
RD Chahar,129,127,101.57
RD Gaikwad,2380,1781,133.63
RE van der Merwe,159,144,110.42
RG Sharma,6630,5183,127.92
RJ Harris,117,112,104.46
RJ Quiney,103,105,98.1
RK Singh,893,654,136.54
RM Patidar,799,534,149.63
RN ten Doeschate,326,238,136.97
RR Pant,3297,2296,143.6
RR Rossouw,473,321,147.35
RS Bopara,531,468,113.46
RT Ponting,91,129,70.54
RV Uthappa,4954,3927,126.15
Rahmanullah Gurbaz,289,228,126.75
Ramandeep Singh,170,106,160.38
Rashid Khan,545,355,153.52
S Anirudha,136,121,112.4
S Badrinath,1441,1245,115.74
S Dhawan,6769,5483,123.45
S Dube,1502,1077,139.46
S Gopal,180,173,104.05
S Sohal,368,311,118.33
S Vidyut,145,115,126.09
SA Asnodkar,423,352,120.17
SA Yadav,3594,2522,142.51
SB Styris,131,134,97.76
SC Ganguly,1349,1326,101.73
SD Hope,183,125,146.4
SE Marsh,2489,1913,130.11
SE Rutherford,106,107,99.07
SK Raina,5536,4177,132.54
SK Warne,198,219,90.41
SL Malinga,88,103,85.44
SM Curran,883,673,131.2
SM Katich,241,191,126.18
SM Pollock,147,116,126.72
SN Khan,585,456,128.29
SN Thakur,307,228,134.65
SO Hetmyer,1243,854,145.55
SP Fleming,196,171,114.62
SP Goswami,293,307,95.44
SP Narine,1534,984,155.89
SPD Smith,2495,1999,124.81
SR Tendulkar,2334,2044,114.19
SR Watson,3880,2892,134.16
SS Iyer,3131,2545,123.03
SS Prabhudessai,126,113,111.5
SS Tiwary,1494,1291,115.72
ST Jayasuriya,768,573,134.03
STR Binny,880,700,125.71
SV Samson,4419,3270,135.14
SW Billings,503,399,126.07
Sachin Baby,144,123,117.07
Salman Butt,193,172,112.21
Shahbaz Ahmed,536,467,114.78
Shakib Al Hasan,795,665,119.55
Shashank Singh,423,272,155.51
Shubman Gill,3216,2432,132.24
Sikandar Raza,182,143,127.27
T Stubbs,405,239,169.46
TG Southee,120,108,111.11
TH David,659,417,158.03
TK Curran,127,108,117.59
TL Suman,676,587,115.16
TM Dilshan,1153,1047,110.12
TM Head,772,458,168.56
Tilak Varma,1156,830,139.28
UBT Chand,300,314,95.54
UT Khawaja,127,105,120.95
UT Yadav,208,211,98.58
V Kohli,8014,6236,128.51
V Sehwag,2728,1833,148.83
V Shankar,1115,890,125.28
VR Iyer,1326,1000,132.6
VVS Laxman,282,271,104.06
W Jaffer,130,129,100.78
WG Jacks,230,133,172.93
WP Saha,2934,2368,123.9
Washington Sundar,378,341,110.85
Y Nagar,285,271,105.17
Y Venugopal Rao,985,865,113.87
YBK Jaiswal,1607,1095,146.76
YK Pathan,3222,2334,138.05
YV Takawale,192,183,104.92
Yuvraj Singh,2754,2207,124.78
Z Khan,117,141,82.98
